#{"t_start": 1774737337.9330404, "env_id": "None"}
r,l,t
236.0,15,25.580369
174.0,13,25.599499
125.0,9,25.618381
126.0,9,25.639161
118.0,9,25.657125
158.0,12,25.674858
306.0,18,25.70137
240.0,19,25.729647
130.0,12,25.745617
90.0,6,25.754473
210.0,12,28.341815
308.0,16,28.363987
166.0,15,28.383293
169.0,10,28.397227
172.0,10,28.420357
169.0,14,28.431202
145.0,9,28.436707
248.0,18,28.446667
213.0,11,28.454249
199.0,12,28.461948
230.0,12,28.470317
128.0,7,28.473759
280.0,17,28.483922
126.0,14,28.491882
175.0,11,28.498579
260.0,17,28.508433
192.0,13,28.516038
213.0,10,28.523038
263.0,16,28.535771
132.0,9,28.548219
165.0,11,28.562839
128.0,9,28.575096
215.0,14,28.593765
234.0,18,28.61611
105.0,14,28.635318
157.0,7,28.646484
95.0,5,28.6544
60.0,9,28.666613
136.0,10,28.679996
98.0,10,28.693737
222.0,10,28.708237
160.0,7,28.718189
145.0,9,28.732205
155.0,11,28.746974
121.0,9,28.759686
155.0,9,28.774806
197.0,12,28.792969
156.0,9,28.808955
353.0,18,28.840543
173.0,9,28.856497
300.0,14,28.876425
232.0,12,28.893808
173.0,10,28.908075
145.0,9,28.921852
83.0,11,28.935114
121.0,9,28.947352
30.0,6,28.954315
98.0,10,28.968537
163.0,9,28.982202
55.0,5,28.996657
151.0,7,29.005299
200.0,13,29.021098
171.0,8,29.034437
123.0,9,29.045725
236.0,14,29.062413
174.0,12,29.085583
90.0,9,29.099769
105.0,8,29.111249
208.0,13,29.130502
145.0,11,29.146299
218.0,14,29.16523
186.0,12,29.179665
259.0,20,29.205712
194.0,14,29.224689
128.0,8,29.236066
208.0,12,29.252671
272.0,16,29.274286
20.0,7,29.283486
107.0,7,29.294446
305.0,18,29.322129
173.0,9,29.33645
125.0,6,29.346158
194.0,11,29.362876
133.0,15,29.383492
105.0,12,29.400596
180.0,11,29.417108
205.0,11,29.433846
142.0,14,29.451896
107.0,9,29.464013
135.0,10,29.481696
71.0,11,29.500332
207.0,15,29.517487
65.0,9,29.531052
197.0,9,29.544323
125.0,10,29.558744
153.0,9,29.571105
230.0,14,29.605512
280.0,15,29.629067
210.0,15,29.654366
248.0,14,29.673709
243.0,17,29.698961
74.0,11,29.712641
199.0,15,29.733234
179.0,11,29.748152
148.0,9,29.759232
385.0,30,29.795812
133.0,10,29.806596
387.0,18,29.820427
133.0,6,29.825824
277.0,21,29.841929
119.0,11,29.856911
171.0,11,29.87065
113.0,8,29.882005
245.0,12,29.897232
97.0,6,29.906184
118.0,9,29.920639
118.0,11,29.935117
198.0,13,29.953404
20.0,5,29.960427
189.0,15,29.980389
169.0,9,30.009247
88.0,10,30.021328
305.0,14,30.043785
145.0,9,30.057003
181.0,13,30.078535
183.0,11,30.098175
292.0,12,30.119663
247.0,25,30.153626
198.0,15,30.174804
175.0,7,30.185665
221.0,14,30.204474
216.0,19,30.233006
304.0,17,30.262342
233.0,17,30.294956
199.0,13,30.31656
105.0,14,30.332947
177.0,9,30.345924
146.0,11,30.364585
210.0,12,30.381517
131.0,9,30.393822
310.0,19,30.416999
165.0,11,30.430665
180.0,9,30.443194
316.0,21,30.470534
180.0,10,30.48795
3.0,9,30.49958
406.0,29,30.54461
